solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
19	292	2-Propanol	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	OC(C)C	52.900002	173.3	0.00197	-2.7055337	0.12539706	-0.90171266	23	3	5	35	11	8	3	3	113.6	3	0	1	3	0	1	1	0	20.23
23	292	Acetone	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	O=C(C)C	52.900002	173.3	0.0105	-1.9779843	5.2705226	0.72185367	23	3	5	35	11	8	3	3	113.6	3	0	1	3	0	1	0	0	17.07
55	292	Ethanol	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	OCC	52.900002	173.3	0.00232	-2.6345119	0.26415294	-0.57814455	23	3	5	35	11	8	3	3	113.6	2	0	1	2	0	1	1	0	20.23
57	292	Ethyl Acetate	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	O=C(OCC)C	52.900002	173.3	0.032299999	-1.4914703	2.0385206	0.30931509	23	3	5	35	11	8	3	3	113.6	4	0	2	5	2	2	0	0	26.299999
9	292	1-Butanol	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	OCCCC	52.900002	173.3	0.00427	-2.3695722	0.073200002	-1.1353729	23	3	5	35	11	8	3	3	113.6	4	0	1	4	2	1	1	0	20.23
24	292	Acetonitrile	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	N#CC	52.900002	173.3	0.00109	-2.9625735	1.6060544	0.20576026	23	3	5	35	11	8	3	3	113.6	2	1	0	2	0	1	0	0	23.790001
72	292	Methanol	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	OC	52.900002	173.3	0.00188	-2.7258422	0.9591136	-0.01812995	23	3	5	35	11	8	3	3	113.6	1	0	1	1	0	1	1	0	20.23
78	292	Methyl Isobutyl Ketone	glibenclamide	Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1	O=C(CC(C)C)C	52.900002	173.3	0.050099999	-1.300249	0.47272417	-0.32539219	23	3	5	35	11	8	3	3	113.6	6	0	1	6	2	1	0	0	17.07
